UNITID,LCOLELYN,XLPBOOKS,LPBOOKS,XLEBOOKS,LEBOOKS,XLEDATAB,LEDATAB,XLPMEDIA,LPMEDIA,XLEMEDIA,LEMEDIA,XLPCOLLC,LPCLLCT,XLECOLLC,LECLLCT,XLTCLLCT,LTCLLCT,XLPCRCLT,LPCRCLT,XLECRCLT,LECRCLT,XLTCRCLT,LTCRCLT,XLBRANCH,LBRANCH,XSALWAG,LSALWAG,LFRNGBYN,XLFRNGBN,LFRNGBN,XLEXMSBB,LEXMSBB,XLEXMSCS,LEXMSCS,XLEXMSOT,LEXMSOT,XLEXMSTL,LEXMSTL,XLEXOMPS,LEXOMPS,XLEXOMOT,LEXOMOT,XLEXOMTL,LEXOMTL,XLEXPTOT,LEXPTOT,LSWMSOM,XLILLDPR,LILLDPR,XLILLDRC,LILLDRC,LSUPPVRS
144166,2,"R",53401,"R",39610,"R",132,"R",4806,"Z",0,"R",58207,"R",39742,"R",97949,"R",5088,"R",717898,"R",722986,"R",0,"R",407127,1,"R",49071,"R",24488,"R",9379,"R",10934,"R",44801,"R",0,"R",0,"R",0,"R",500999,451928,"R ",223,"R ",122, 2
144175,2,"R",41551,"R",27290,"R",132,"R",742,"R",0,"R",42293,"R",27422,"R",69715,"R",2236,"R",494607,"R",496843,"R",0,"R",344460,1,"R",55452,"R",6000,"R",22350,"R",1100,"R",29450,"R",0,"R",0,"R",0,"R",429362,373910,"R ",0,"R ",88, 2
144184,2,"R",60291,"R",66098,"R",132,"R",3171,"Z",0,"R",63462,"R",66230,"R",129692,"R",12044,"R",1197990,"R",1210034,"R",0,"R",446033,1,"R",57095,"R",43985,"R",23110,"R",2480,"R",69575,"R",0,"R",2425,"R",2425,"R",575128,518033,"R ",428,"R ",322, 2
144193,2,"R",62866,"R",57664,"R",132,"R",5557,"Z",0,"R",68423,"R",57796,"R",126219,"R",9056,"R",1045114,"R",1054170,"R",1,"R",411861,1,"R",59484,"R",27500,"R",10000,"R",1750,"R",39250,"R",0,"R",0,"R",0,"R",510595,451111,"R ",452,"R ",324, 1
144209,2,"R",56014,"R",61412,"R",132,"R",2504,"Z",0,"R",58518,"R",61544,"R",120062,"R",15980,"R",1113059,"R",1129039,"R",0,"R",658488,1,"R",92910,"R",29633,"R",4798,"R",10114,"R",44545,"R",718,"R",5831,"R",6549,"R",802492,709582,"R ",351,"R ",245, 2
144218,2,"R",70028,"R",68782,"R",132,"R",4776,"Z",0,"R",74804,"R",68914,"R",143718,"R",12411,"R",1246632,"R",1259043,"R",0,"R",357282,1,"R",49366,"R",8297,"R",3750,"R",0,"R",12047,"R",0,"R",16414,"R",16414,"R",435109,385743,"R ",0,"R ",198, 2
144281,2,"R",270843,"R",59360,"R",163,"R",43100,"R",393020,"R",313943,"R",452543,"R",766486,"R",29970,"R",279937,"R",309907,"R",0,"R",2018382,1,"R",734835,"R",285262,"R",543110,"R",67758,"R",896130,"R",1838,"R",265931,"R",267769,"R",3917116,3182281,"R ",12618,"R ",3170, 1
144351,2,"R",159704,"R",1057423,"R",87,"R",6757,"R",7748,"R",166461,"R",1065258,"R",1231719,"R",6604,"R",0,"R",6604,"R",1,"R",342846,1,"R",102944,"R",103911,"R",21524,"R",1000,"R",126435,"R",0,"R",20631,"R",20631,"R",592856,489912,"R ",2085,"R ",2877, 1
144467,2,"R",2720,"R",40444,"R",17,"R",0,"R",0,"R",2720,"R",40461,"R",43181,"R",0,"R",11955,"R",11955,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,.,"A ",.,"A ",.,-2
144485,2,"R",3112,"R",0,"R",60,"R",522,"R",0,"R",3634,"R",60,"R",3694,"R",406,"R",25,"R",431,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,.,"A ",.,"A ",.,-2
144564,2,"R",68175,"R",3829,"R",70,"R",4709,"R",16462,"R",72884,"R",20361,"R",93245,"R",2895,"R",24,"R",2919,"R",0,"R",275682,1,"R",49035,"R",8500,"R",70385,"R",0,"R",78885,"R",10000,"R",2600,"R",12600,"R",416202,367167,"R ",1620,"R ",1586, 2
144740,2,"R",958226,"R",1220298,"R",558,"R",55314,"R",103741,"R",1013540,"R",1324597,"R",2338137,"R",56510,"R",466526,"R",523036,"R",2,"R",4096998,1,"R",1369025,"R",718411,"R",4440878,"R",106323,"R",5265612,"R",41892,"R",653805,"R",695697,"R",11427332,10058307,"R ",23556,"R ",32912, 1
144865,2,"R",241845,"R",30734,"R",148,"R",51333,"R",809800,"R",293178,"R",840682,"R",1133860,"R",99625,"R",92395,"R",192020,"R",0,"R",3203105,1,"R",687819,"R",312031,"R",432355,"R",3128,"R",747514,"R",7415,"R",724619,"R",732034,"R",5370472,4682653,"R ",17648,"R ",8420, 1
144883,2,"R",21528,"R",55,"R",35,"R",642,"R",0,"R",22170,"R",90,"R",22260,"R",1472,"R",226,"R",1698,"R",0,"R",115000,1,"R",20700,"R",6601,"R",18123,"R",2077,"R",26801,"R",1915,"R",3863,"R",5778,"R",168279,147579,"R ",0,"R ",73, 1
144892,2,"R",998146,"R",67077,"R",405,"R",48062,"R",50176,"R",1046208,"R",117658,"R",1163866,"R",125113,"R",117552,"R",242665,"R",0,"R",3138652,2,"Z",0,"R",459076,"R",932240,"R",121600,"R",1512916,"R",39778,"R",151746,"R",191524,"R",4843092,4843092,"R ",18628,"R ",8797, 1
144944,2,"R",71548,"R",25038,"Z",0,"R",6261,"R",0,"R",77809,"R",25038,"R",102847,"R",35481,"R",26724,"R",62205,"R",1,"R",1065548,1,"R",137899,"R",174320,"R",152823,"R",24349,"R",351492,"R",0,"R",117199,"R",117199,"R",1672138,1534239,"R ",1178,"R ",316, 1
144962,2,"R",234281,"R",140489,"R",96,"R",14557,"R",2325,"R",248838,"R",142910,"R",391748,"R",14130,"R",25959,"R",40089,"R",0,"R",740159,1,"R",227039,"R",39847,"R",352413,"R",177,"R",392437,"R",3823,"R",67584,"R",71407,"R",1431042,1204003,"R ",4966,"R ",3581, 1
144971,2,"R",82042,"R",7171,"R",11,"R",1520,"R",10805,"R",83562,"R",17987,"R",101549,"R",2985,"R",725340,"R",728325,"R",0,"R",215950,1,"R",41907,"R",12000,"R",67000,"R",25000,"R",104000,"R",1900,"R",21578,"R",23478,"R",385335,343428,"R ",1683,"R ",1978, 2
145239,2,"R",2784,"R",0,"R",4,"R",291,"R",0,"R",3075,"R",4,"R",3079,"R",56,"R",596,"R",652,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,.,"A ",.,"A ",.,-2
145275,2,"R",520286,"R",0,"R",11,"R",2001,"R",0,"R",522287,"R",11,"R",522298,"R",16079,"R",59052,"R",75131,"R",0,"R",296251,1,"R",87582,"R",71517,"R",31777,"R",15148,"R",118442,"R",3387,"R",34451,"R",37838,"R",540113,452531,"R ",1236,"R ",251, 1
145336,2,"R",302949,"R",263285,"R",179,"R",27159,"R",111918,"R",330108,"R",375382,"R",705490,"R",9226,"R",425000,"R",434226,"R",0,"R",1217877,2,"Z",0,"R",0,"R",646127,"R",90509,"R",736636,"R",1538,"R",61651,"R",63189,"R",2017702,2017702,"R ",5804,"R ",2936, 1
145372,2,"R",119775,"R",8600,"R",45,"R",3004,"R",9899,"R",122779,"R",18544,"R",141323,"R",3858,"R",1078,"R",4936,"R",0,"R",277574,2,"Z",0,"R",46085,"R",55485,"R",0,"R",101570,"R",3686,"R",10192,"R",13878,"R",393022,393022,"R ",2374,"R ",2306, 1
145460,2,"R",21929,"R",40444,"R",22,"R",853,"R",0,"R",22782,"R",40466,"R",63248,"R",1275,"R",6795,"R",8070,"R",1,"R",89615,1,"R",12388,"R",20487,"R",21396,"R",19455,"R",61338,"R",0,"R",604,"R",604,"R",163945,151557,"R ",0,"R ",0, 1
145497,2,"R",60000,"R",0,"R",0,"R",1000,"R",0,"R",61000,"R",0,"R",61000,"R",800,"R",0,"R",800,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,.,"A ",.,"A ",.,-2
145521,2,"R",47713,"R",141000,"R",10,"R",5695,"R",0,"R",53408,"R",141010,"R",194418,"R",8659,"R",1013,"R",9672,"R",0,"R",144619,1,"R",63342,"R",25000,"R",45313,"R",3849,"R",74162,"R",84,"R",900,"R",984,"R",283107,219765,"R ",3609,"R ",3030, 1
145558,2,"R",45631,"R",2304,"R",29,"R",41,"R",0,"R",45672,"R",2333,"R",48005,"R",4786,"R",67077,"R",71863,"R",0,"R",387446,1,"R",127938,"R",38703,"R",1122546,"R",2469,"R",1163718,"R",0,"R",41504,"R",41504,"R",1720606,1592668,"R ",1174,"R ",1848, 1
145600,2,"R",2296112,"R",487836,"R",998,"R",9100,"R",0,"R",2305212,"R",488834,"R",2794046,"R",78569,"R",3351510,"R",3430079,"R",4,"R",8005612,2,"R",0,"R",1131077,"R",8190402,"R",6633,"R",9328112,"R",2202527,"R",2202527,"R",4405054,"R",21738778,21738778,"R ",43855,"R ",41364, 1
145619,2,"R",127141,"R",330459,"R",99,"R",30037,"R",386,"R",157178,"R",330944,"R",488122,"R",12970,"R",318779,"R",331749,"R",1,"R",887682,2,"R",0,"R",20125,"R",400346,"R",4658,"R",425129,"R",119,"R",39916,"R",40035,"R",1352846,1352846,"R ",12111,"R ",6271, 1
145628,2,"R",23401,"R",77770,"R",101,"R",852,"R",750,"R",24253,"R",78621,"R",102874,"R",3383,"R",1500,"R",4883,"R",0,"R",415677,1,"R",138815,"R",29873,"R",192081,"R",0,"R",221954,"R",0,"R",0,"R",0,"R",776446,637631,"R ",1164,"R ",576, 1
145637,2,"R",14297276,"R",982635,"R",823,"R",264724,"R",123717,"R",14562000,"R",1107175,"R",15669175,"R",411997,"R",2029224,"R",2441221,"R",17,"R",23000093,2,"Z",0,"R",4877286,"R",13758076,"R",899158,"R",19534520,"R",498126,"R",3930021,"R",4428147,"R",46962760,46962760,"R ",82869,"R ",61302, 1
145646,2,"R",296192,"R",9107,"R",118,"R",14826,"R",20840,"R",311018,"R",30065,"R",341083,"R",19516,"R",17305,"R",36821,"R",0,"R",1120198,2,"Z",0,"R",109438,"R",731450,"R",76130,"R",917018,"R",4371,"R",105476,"R",109847,"R",2147063,2147063,"R ",8667,"R ",9198, 1
145682,2,"R",48687,"R",58693,"R",108,"R",3537,"R",32544,"R",52224,"R",91345,"R",143569,"R",12571,"R",64945,"R",77516,"R",2,"R",689633,1,"R",124247,"R",71718,"R",222853,"R",17122,"R",311693,"R",0,"R",36049,"R",36049,"R",1161622,1037375,"R ",3035,"R ",2487, 1
145691,2,"R",119824,"R",3953,"Z",0,"R",947,"R",12,"R",120771,"R",3965,"R",124736,"R",120771,"R",4031,"R",124802,"R",0,"R",280000,2,"R",0,"R",50000,"R",210000,"R",0,"R",260000,"R",0,"R",0,"R",0,"R",540000,540000,"R ",3915,"R ",3683, 2
145707,2,"R",22048,"R",0,"R",22,"R",70,"R",7,"R",22118,"R",29,"R",22147,"R",1673,"R",316,"R",1989,"R",0,"R",70416,1,"R",20627,"R",6823,"R",5491,"R",9128,"R",21442,"R",3340,"R",0,"R",3340,"R",115825,95198,"R ",750,"R ",802, 2
145725,2,"R",1668294,"R",99665,"R",296,"R",455,"R",1180,"R",1668749,"R",101141,"R",1769890,"R",14857,"R",63163,"R",78020,"R",4,"R",2852895,1,"R",632756,"R",31255,"R",1855709,"R",301678,"R",2188642,"R",62711,"R",1260798,"R",1323509,"R",6997802,6365046,"R ",7616,"R ",14915, 1
