id,library
348,BILLINGSLEY PUBLIC LIBRARY
349,MARBURY PUBLIC LIBRARY
350,FAYETTE COUNTY MEMORIAL LIBRARY
351,PHENIX CITY - RUSSELL COUNTY PUBLIC LIBRARY
352,SELMA - DALLAS COUNTY PUBLIC LIBRARY
353,WEAVER-BOLDEN BRANCH LIBRARY
354,TUSCALOOSA PUBLIC LIBRARY
355,TUSCALOOSA PUBLIC LIBRARY - BOOKMOBILE
356,BROWN BRANCH LIBRARY
357,TUSCALOOSA PUBLIC LIBRARY BOOKMOBILE 2
358,WILCOX COUNTY LIBRARY
359,WILCOX COUNTY - PINE APPLE BRANCH LIBRARY
360,WILCOX COUNTY - PINE HILL BRANCH LIBRARY
361,MONROE COUNTY PUBLIC LIBRARY
362,CULLMAN COUNTY PUBLIC LIBRARY
363,CULLMAN COUNTY PUBLIC - HANCEVILLE BRANCH
364,CULLMAN COUNTY PUBLIC - BOOKMOBILE
365,CULLMAN COUNTY PUBLIC - COLONY BRANCH LIBRARY
366,CULLMAN PUBLIC LIBARY - GARDEN CITY BRANCH LIBRARY
367,CULLMAN PUBLIC LIBRARY - GUY HUNT LIBRARY - HOLLY POND
368,VALLEY - H. GRADY BRADSHAW CHAMBERS COUNTY LIBRARY
369,LAFAYETTE PILOT PUBLIC LIBRARY
370,HOKES BLUFF - RUFUS FLOYD PUBLIC LIBRARY
371,RAGLAND PUBLIC LIBRARY
372,HAYNEVILLE - LOWNDES COUNTY PUBLIC LIBRARY
373,IDER PUBLIC LIBRARY
374,EUFAULA CARNEGIE LIBRARY
375,EUFAULA - MCCOO MEMORIAL CHILDREN'S LIBRARY
376,GRANT PUBLIC LIBRARY
377,DALEVILLE PUBLIC LIBRARY
378,COURTLAND PUBLIC LIBRARY
379,EVA PUBLIC LIBRARY
380,CROSSVILLE PUBLIC LIBRARY
381,WALNUT GROVE - WESTSIDE PUBLIC LIBRARY
382,ORANGE BEACH PUBLIC LIBRARY
383,SATSUMA PUBLIC LIBRARY
384,FALKVILLE PUBLIC LIBRARY
385,SPRINGVILLE PUBLIC LIBRARY
386,BRIDGEPORT - LENA CAGLE PUBLIC LIBRARY
387,WEST BLOCTON PUBLIC LIBRARY
388,CARBON HILL CITY LIBRARY
389,OHATCHEE PUBLIC LIBRARY
390,SOMERVILLE PUBLIC LIBRARY
391,CHELSEA PUBLIC LIBRARY
392,DUTTON PUBLIC LIBRARY
393,FORT DEPOSIT PUBLIC LIBRARY
394,SUMMERDALE - MARJORIE YOUNCE SNOOK PUBLIC LIBRARY
395,CLAY PUBLIC LIBRARY
396,ECLECITC PUBLIC LIBRARY
397,HOBSON CITY PUBLIC LIBRARY
398,MUNFORD PUBLIC LIBRARY
399,SOUTHSIDE PUBLIC LIBRARY
400,STEELE PUBLIC LIBRARY
401,PINSON PUBLIC LIBRARY
402,GLENCOE PUBLIC LIBRARY
403,MAGNOLIA SPRINGS PUBLIC LIBRARY
404,TOWN CREEK PUBLIC LIBRARY
405,JEFFERSON COUNTY LIBRARY COOPERATIVE
406,MARENGO LIBRARY SYSTEM
407,PICKENS COUNTY COOPERATIVE LIBRARY
408,R.L. HADDEN MEMORIAL LIBRARY
409,MOUNT VERNON PUBLIC LIBRARY
410,LINDA DURAN PUBLIC LIBRARY
411,SARDIS CITY PUBLIC LIBRARY
412,GREEN POND - WOODSTOCK LIBRARY
413,JOHN GOULD FLETCHER BRANCH LIBRARY
414,DEE BROWN BRANCH LIBRARY
415,ADOLPHINE F. TERRY BRANCH LIBRARY
416,AMY SANDERS BRANCH LIBRARY
417,ESTHER D. NIXON LIBRARY
418,MAX MILAM LIBRARY
419,CENTRAL ARKANSAS LIBRARY SYSTEM
420,MAUMELLE PUBLIC LIBRARY
421,SUE COWAN WILLIAMS LIBRARY
422,SIDNEY SANDERS MCMATH
423,ROOSEVELT THOMPSON BRANCH LIBRARY
424,OLEY E. ROOKER LIBRARY
425,HILLARY RODHAM CLINTON CHILDREN'S LIBRARY AND LEARNING CENTE
426,MILLIE M. BROOKS
427,GREENLAND PUBLIC LIBRARY
428,LINCOLN PUBLIC LIBRARY
429,PRAIRIE GROVE PUBLIC LIBRARY
430,WINSLOW PUBLIC LIBRARY
431,WEST FORK PUBLIC LIBRARY
432,SPRINGDALE PUBLIC LIBRARY
433,ELKINS PUBLIC LIBRARY
434,FARMINGTON PUBLIC LIBRARY
435,WASHINGTON COUNTY LIBRARY SYSTEM OFFICE
436,MARION COUNTY LIBRARY
437,NEVADA COUNTY LIBRARY
438,PIKE COUNTY LIBRARY
439,BAINUM LIBRARY & LEARNING CENTER
440,DELIGHT BRANCH LIBRARY
441,SOUTHWEST ARKANSAS REGIONAL LIBRARY
442,GRANT COUNTY LIBRARY
443,DALLAS COUNTY LIBRARY
444,ROY AND CHRISTINE STURGIS LIBRARY OF CLEVELAND COUNTY
445,MID ARKANSAS REGIONAL LIBRARY
